9382f27f|	addi t0, t0, 2047
93820280|	addi t0, t0, -2048
13841200|	addi s0, t0, 1
13931200|	slli t1, t0, 1
93a37203|	slti t2, t0, 55
93b37203|	sltiu t2, t0, 55
13f31200|	andi t1, t0, 1
13e31200|	ori t1, t0, 1
13c31200|	xori t1, t0, 1
13931200|	slli t1, t0, 1
13d31200|	srli t1, t0, 1
13d31240|	srai t1, t0, 1
b3836200|	add t2, t0, t1
b3a36200|	slt t2, t0, t1
b3b36200|	sltu t2, t0, t1
b3f36200|	and t2, t0, t1
b3e36200|	or t2, t0, t1
b3c36200|	xor t2, t0, t1
17050000|	auipc a0, 0
97070080|	auipc a5, -524288
17f5ff7f|	auipc a0, 524287
b7770a00|	lui a5, 167
b7070080|	lui a5, -524288
b3936200|	sll t2, t0, t1
b3d36200|	srl t2, t0, t1
b3d36240|	sra t2, t0, t1
b3836240|	sub t2, t0, t1
ef028000|	jal t0, 0x10008
e7800200|	jalr ra, (t0)
67830200|	jalr t1, (t0)
67834200|	jalr t1, 4(t0)
63846200|	beq t0, t1, 0x10008
63946200|	bne t0, t1, 0x10008
63c46200|	blt t0, t1, 0x10008
63e46200|	bltu t0, t1, 0x10008
63d46200|	bge t0, t1, 0x10008
63f46200|	bgeu t0, t1, 0x10008
03a30200|	lw t1, (t0)
03a34200|	lw t1, 4(t0)
03e30200|	lwu t1, (t0)
03e34200|	lwu t1, 4(t0)
03930200|	lh t1, (t0)
03934200|	lh t1, 4(t0)
03d30200|	lhu t1, (t0)
03d34200|	lhu t1, 4(t0)
03830200|	lb t1, (t0)
03834200|	lb t1, 4(t0)
03c30200|	lbu t1, (t0)
03c34200|	lbu t1, 4(t0)
23205300|	sw t1, (t0)
23225300|	sw t1, 4(t0)
23105300|	sh t1, (t0)
23125300|	sh t1, 4(t0)
23005300|	sb t1, (t0)
23025300|	sb t1, 4(t0)
0f00f00f|	fence
1b831200|	addiw t1, t0, 1
1b931200|	slliw t1, t0, 1
1bd31200|	srliw t1, t0, 1
1bd31240|	sraiw t1, t0, 1
bb035300|	addw t2, t1, t0
bb135300|	sllw t2, t1, t0
bb535300|	srlw t2, t1, t0
bb535340|	sraw t2, t1, t0
bb035340|	subw t2, t1, t0
03b30200|	ld t1, (t0)
03b34200|	ld t1, 4(t0)
23305300|	sd t1, (t0)
23325300|	sd t1, 4(t0)
b3035302|	mul t2, t1, t0
b3135302|	mulh t2, t1, t0
b3335302|	mulhu t2, t1, t0
b3235302|	mulhsu t2, t1, t0
bb035302|	mulw t2, t1, t0
b3435302|	div t2, t1, t0
b3535302|	divu t2, t1, t0
b3635302|	rem t2, t1, t0
b3735302|	remu t2, t1, t0
bb435302|	divw t2, t1, t0
bb535302|	divuw t2, t1, t0
bb635302|	remw t2, t1, t0
bb735302|	remuw t2, t1, t0
2fa30214|	lr.w.aq t1, (t0)
2fb30214|	lr.d.aq t1, (t0)
af23531c|	sc.w.aq t2, t0, (t1)
af33531c|	sc.d.aq t2, t0, (t1)
af23530c|	amoswap.w.aq t2, t0, (t1)
