1383f27f|	ADDI $2047, X5, X6
13830280|	ADDI $-2048, X5, X6
13f31200|	ANDI $1, X5, X6
13e31200|	ORI $1, X5, X6
13c31200|	XORI $1, X5, X6
13931200|	SLLI $1, X5, X6
13d31200|	SRLI $1, X5, X6
13d31240|	SRAI $1, X5, X6
b3836200|	ADD X6, X5, X7
b3a36200|	SLT X6, X5, X7
b3b36200|	SLTU X6, X5, X7
93a37203|	SLTI $55, X5, X7
93b37203|	SLTIU $55, X5, X7
b3f36200|	AND X6, X5, X7
b3e36200|	OR X6, X5, X7
b3c36200|	XOR X6, X5, X7
17050000|	AUIPC $0, X10
97050000|	AUIPC $0, X11
17150000|	AUIPC $1, X10
97070080|	AUIPC $-524288, X15
17f5ff7f|	AUIPC $524287, X10
b7070000|	LUI $0, X15
b7770a00|	LUI $167, X15
b7070080|	LUI $-524288, X15
b7f7ff7f|	LUI $524287, X15
b3936200|	SLL X6, X5, X7
b3d36200|	SRL X6, X5, X7
b3836240|	SUB X6, X5, X7
b3d36240|	SRA X6, X5, X7
0f00f00f|	FENCE
1b831200|	ADDIW $1, X5, X6
1b931200|	SLLIW $1, X5, X6
1bd31200|	SRLIW $1, X5, X6
1bd31240|	SRAIW $1, X5, X6
bb035300|	ADDW X5, X6, X7
bb135300|	SLLW X5, X6, X7
bb535300|	SRLW X5, X6, X7
bb035340|	SUBW X5, X6, X7
bb535340|	SRAW X5, X6, X7
03b30200|	MOV (X5), X6
03b34200|	MOV 4(X5), X6
03830200|	MOVB (X5), X6
03834200|	MOVB 4(X5), X6
03930200|	MOVH (X5), X6
03934200|	MOVH 4(X5), X6
03a30200|	MOVW (X5), X6
03a34200|	MOVW 4(X5), X6
03e30200|	MOVWU (X5), X6
03e34200|	MOVWU 4(X5), X6
03d30200|	MOVHU (X5), X6
03d34200|	MOVHU 4(X5), X6
03c30200|	MOVBU (X5), X6
03c34200|	MOVBU 4(X5), X6
23305300|	MOV X5, (X6)
23325300|	MOV X5, 4(X6)
23005300|	MOVB X5, (X6)
23025300|	MOVB X5, 4(X6)
23105300|	MOVH X5, (X6)
23125300|	MOVH X5, 4(X6)
23205300|	MOVW X5, (X6)
23225300|	MOVW X5, 4(X6)
b3035302|	MUL X5, X6, X7
b3135302|	MULH X5, X6, X7
b3335302|	MULHU X5, X6, X7
b3235302|	MULHSU X5, X6, X7
bb035302|	MULW X5, X6, X7
b3435302|	DIV X5, X6, X7
b3535302|	DIVU X5, X6, X7
b3635302|	REM X5, X6, X7
b3735302|	REMU X5, X6, X7
bb435302|	DIVW X5, X6, X7
bb535302|	DIVUW X5, X6, X7
bb635302|	REMW X5, X6, X7
bb735302|	REMUW X5, X6, X7
2fa30214|	LRW (X5), X6
2fb30214|	LRD (X5), X6
af23531c|	SCW X5, (X6), X7
af33531c|	SCD X5, (X6), X7
af23530c|	AMOSWAPW X5, (X6), X7
af33530c|	AMOSWAPD X5, (X6), X7
af235304|	AMOADDW X5, (X6), X7
af335304|	AMOADDD X5, (X6), X7
af235364|	AMOANDW X5, (X6), X7
af335364|	AMOANDD X5, (X6), X7
af235344|	AMOORW X5, (X6), X7
af335344|	AMOORD X5, (X6), X7
af235324|	AMOXORW X5, (X6), X7
af335324|	AMOXORD X5, (X6), X7
af2353a4|	AMOMAXW X5, (X6), X7
af3353a4|	AMOMAXD X5, (X6), X7
af2353e4|	AMOMAXUW X5, (X6), X7
af3353e4|	AMOMAXUD X5, (X6), X7
af235384|	AMOMINW X5, (X6), X7
af335384|	AMOMIND X5, (X6), X7
af2353c4|	AMOMINUW X5, (X6), X7
af3353c4|	AMOMINUD X5, (X6), X7
53011000|	FADDS F1, F0, F2
53011008|	FSUBS F1, F0, F2
53011010|	FMULS F1, F0, F2
53011018|	FDIVS F1, F0, F2
53011028|	FMINS F1, F0, F2
53111028|	FMAXS F1, F0, F2
d3000058|	FSQRTS F0, F1
d31200c0|	FCVTWS F0, X5
d31220c0|	FCVTLS F0, X5
538002d0|	FCVTSW X5, F0
538022d0|	FCVTSL X5, F0
d31210c0|	FCVTWUS F0, X5
d31230c0|	FCVTLUS F0, X5
538012d0|	FCVTSWU X5, F0
538032d0|	FCVTSLU X5, F0
53011020|	FSGNJS F1, F0, F2
53111020|	FSGNJNS F1, F0, F2
53211020|	FSGNJXS F1, F0, F2
d30200e0|	FMVXW F0, X5
538002f0|	FMVWX X5, F0
43822018|	FMADDS F1, F2, F3, F4
47822018|	FMSUBS F1, F2, F3, F4
4b822018|	FNMSUBS F1, F2, F3, F4
4f822018|	FNMADDS F1, F2, F3, F4
d3a300a0|	FEQS F0, F1, X7
d39300a0|	FLTS F0, F1, X7
d38300a0|	FLES F0, F1, X7
d31200e0|	FCLASSS F0, X5
53011002|	FADDD F1, F0, F2
5301100a|	FSUBD F1, F0, F2
53011012|	FMULD F1, F0, F2
5301101a|	FDIVD F1, F0, F2
5301102a|	FMIND F1, F0, F2
5311102a|	FMAXD F1, F0, F2
d300005a|	FSQRTD F0, F1
d31200c2|	FCVTWD F0, X5
d31220c2|	FCVTLD F0, X5
538002d2|	FCVTDW X5, F0
538022d2|	FCVTDL X5, F0
d31210c2|	FCVTWUD F0, X5
d31230c2|	FCVTLUD F0, X5
538012d2|	FCVTDWU X5, F0
538032d2|	FCVTDLU X5, F0
d3001040|	FCVTSD F0, F1
d3000042|	FCVTDS F0, F1
53011022|	FSGNJD F1, F0, F2
53111022|	FSGNJND F1, F0, F2
53211022|	FSGNJXD F1, F0, F2
d30200e2|	FMVXD F0, X5
538002f2|	FMVDX X5, F0
4382201a|	FMADDD F1, F2, F3, F4
4782201a|	FMSUBD F1, F2, F3, F4
4b82201a|	FNMSUBD F1, F2, F3, F4
4f82201a|	FNMADDD F1, F2, F3, F4
d31200e2|	FCLASSD F0, X5
73000000|	ECALL
73001000|	EBREAK
07a04200|	MOVF 4(X5), F0
27a20200|	MOVF F0, 4(X5)
d3000020|	MOVF F0, F1
07b04200|	MOVD 4(X5), F0
27b20200|	MOVD F0, 4(X5)
d3000022|	MOVD F0, F1
13c3f2ff|	NOT X5, X6
33035040|	NEG X5, X6
3b035040|	NEGW X5, X6
6f008000|	JMP 2(PC)
67800200|	JMP (X5)
67804200|	JMP 4(X5)
ef000000|	JAL X1, 0(PC)
63840200|	BEQZ X5, 2(PC)
63d40200|	BGEZ X5, 2(PC)
63545300|	BGE X6, X5, 2(PC)
63745300|	BGEU X6, X5, 2(PC)
63545000|	BGE X0, X5, 2(PC)
63c40200|	BLTZ X5, 2(PC)
63940200|	BNEZ X5, 2(PC)
63c46200|	BLT X5, X6, 2(PC)
63e46200|	BLTU X5, X6, 2(PC)
93b71700|	SEQZ X15, X15
b337f000|	SNEZ X15, X15
d3200020|	FABSS F0, F1
d3100020|	FNEGS F0, F1
d3a300a0|	FEQS F0, F1, X7
d3200022|	FABSD F0, F1
d3100022|	FNEGD F0, F1
d3a200a2|	FEQD F0, F1, X5
d39200a2|	FLTD F0, F1, X5
d38200a2|	FLED F0, F1, X5
